sa2_name,poi_count,z_poi,score,centroid_lon,centroid_lat
North Parramatta,132,2.038,0.8847,151.00925866303365,-33.802724277562405
Ermington - Rydalmere,118,1.6341,0.8367,151.0519724465877,-33.81134867291761
Merrylands - Holroyd,112,1.461,0.8117,150.98444547272538,-33.83397575364498
Granville - Clyde,105,1.2591,0.7789,151.01009359305806,-33.8349477475808
Northmead,97,1.0283,0.7366,150.99091059992082,-33.796681770085925
Guildford West - Merrylands West,96,0.9995,0.731,150.97008056321576,-33.845942597265854
Wentworth Point - Sydney Olympic Park,94,0.9418,0.7195,151.0694138804177,-33.844906189899234
Parramatta - North,94,0.9418,0.7195,151.0032163192679,-33.81472670085324
Guildford - South Granville,84,0.6533,0.6578,151.0019867223402,-33.85695683418515
Lidcombe,83,0.6245,0.6512,151.04415863289265,-33.86415988801831
Oatlands - Dundas Valley,82,0.5956,0.6447,151.029,-33.796
Toongabbie - Constitution Hill,82,0.5956,0.6447,150.946,-33.787
Fairfield - East,79,0.5091,0.6246,150.97,-33.868
Wentworthville - Westmead,74,0.3648,0.5902,150.99,-33.806
Chester Hill - Sefton,71,0.2783,0.5691,150.999,-33.881
Auburn - Central,68,0.1917,0.5478,151.033,-33.849
Winston Hills,66,0.1341,0.5335,150.974,-33.777
Pemulwuy - Greystanes (North),63,0.0475,0.5119,150.93,-33.812
Carlingford - West,61,-0.0102,0.4975,151.039,-33.779
Greystanes - South,50,-0.3275,0.4188,150.942,-33.835
Pendle Hill - Girraween,50,-0.3275,0.4188,150.954,-33.8
Carlingford - East,48,-0.3852,0.4049,151.056,-33.779
Rosehill - Harris Park,48,-0.3852,0.4049,151.019,-33.823
Silverwater - Newington,37,-0.7025,0.3313,151.056,-33.833
North Rocks,37,-0.7025,0.3313,151.019,-33.766
Regents Park,32,-0.8468,0.3001,151.021,-33.882
Auburn - South,22,-1.1352,0.2432,151.031,-33.862
Auburn - North,21,-1.1641,0.2379,151.029,-33.835
Parramatta - South,21,-1.1641,0.2379,151.003,-33.823
Berala,20,-1.1929,0.2327,151.026,-33.873
South Wentworthville,16,-1.3083,0.2128,150.974,-33.823
Smithfield Industrial,11,-1.4525,0.1896,150.93,-33.847
Rookwood Cemetery,9,-1.5102,0.1809,151.054,-33.873
Yennora Industrial,3,-1.6833,0.1567,150.97,-33.865
